Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Brusque - Náutico 2:2,Brazil. Serie C,19/8/2023,CF,75,36,15,2,0,2,2,0.78,11,5,0,0,0,0,0,0,15,8,9,3,4,10,4,4,2,0,0
Paysandu - Náutico 4:2,Brazil. Serie C,13/8/2023,CF,71,34,11,0,1,1,0,0.01,11,7,1,0,1,0,2,1,17,4,7,0,0,10,1,0,0,0,0
Náutico - CSA 0:0,Brazil. Serie C,6/8/2023,CF,40,16,5,0,0,0,0,0,3,0,0,0,0,0,0,0,10,5,3,1,2,7,0,1,1,0,0
Chapecoense - Ituano 1:0,Brazil. Serie B,19/7/2023,CF,22,11,3,0,0,0,0,0,1,1,0,0,1,1,1,0,10,2,4,1,0,5,2,0,0,0,0
Chapecoense - Sport Recife 1:1,Brazil. Serie B,28/6/2023,CF,18,9,3,0,0,0,0,0,3,2,0,0,0,0,1,1,4,1,2,0,0,1,0,0,0,87,0
Chapecoense - Criciúma 1:1,Brazil. Serie B,24/6/2023,CF,76,31,10,0,0,3,0,0.29,9,8,0,0,0,0,1,0,14,2,10,1,0,13,1,1,1,0,0
Ceará - Chapecoense 2:0,Brazil. Serie B,3/6/2023,CF,14,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0
Chapecoense - Sampaio Corrêa 0:1,Brazil. Serie B,30/5/2023,CF,102,49,19,0,0,2,1,0.24,10,8,0,0,1,0,0,0,29,10,19,7,1,16,3,2,1,0,0
Guarani - Chapecoense 3:3,Brazil. Serie B,25/5/2023,CF,103,38,20,1,0,3,2,0.78,12,12,0,0,0,0,1,0,15,6,5,3,1,5,2,1,0,89,0
Chapecoense - Grêmio Novorizontino 1:1,Brazil. Serie B,7/5/2023,CF,51,28,11,0,0,0,0,0,6,5,0,0,0,0,1,1,14,5,7,1,1,7,2,2,1,0,0
Atlético GO - Chapecoense 2:1,Brazil. Serie B,3/5/2023,CF,52,17,5,0,0,0,0,0,5,3,0,0,0,0,0,0,9,2,4,1,0,6,2,1,1,0,0
Chapecoense - Ponte Preta 1:1,Brazil. Serie B,29/4/2023,CF,82,22,8,0,0,0,0,0,6,5,0,0,0,0,1,0,14,3,7,1,0,7,0,0,0,0,0
